# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       3.657528587122e+11       5.651131302362e-21       1.267439074581e-06       2.885761921740e+17       1.424847712776e+04       3.895657077811e-08       5.211421241788e+15       7.317565267457e-07       4.923990895493e+34       1.217791274874e+26       6.402198032800e+26       1.132639317928e+34       3.775464393094e+33       3.483571410310e-08       2.270991579343e+34       8.327621868964e+34       8.327621868964e+34       2.775873930921e+34      -8.760572718514e+40       6.816434402202e-05       1.636402163057e-01 
       3.618424426577e+11       5.773934377306e-21       1.281136064790e-06       2.824386019115e+17       1.424847712775e+04       3.937757279951e-08       5.155703768069e+15       7.396645887245e-07       4.716766205973e+34       1.179147650305e+26       6.199039952845e+26       1.084972529752e+34       3.616575099173e+33       3.483571410310e-08       2.175417575467e+34       7.977156384973e+34       7.977156384973e+34       2.659052103730e+34      -8.302165473672e+40       6.828424274658e-05       1.633528843729e-01 
       3.579738344888e+11       5.899406047237e-21       1.294982212130e-06       2.764315491476e+17       1.424847712773e+04       3.980312457205e-08       5.100581993055e+15       7.476581127907e-07       4.518262505759e+34       1.141730286551e+26       6.002328597161e+26       1.039311784152e+34       3.464372613840e+33       3.483571410310e-08       2.083865775063e+34       7.641440136414e+34       7.641440136414e+34       2.547146688325e+34      -7.867744925696e+40       6.840414147125e-05       1.630665597107e-01 
       3.541465872202e+11       6.027604307855e-21       1.308977516601e-06       2.705522575421e+17       1.424847712772e+04       4.023327526468e-08       5.046049547880e+15       7.557380225402e-07       4.328112774616e+34       1.105500271226e+26       5.811859394738e+26       9.955726574238e+33       3.318575524746e+33       3.483571410310e-08       1.996166904898e+34       7.319852406111e+34       7.319852406111e+34       2.439950778979e+34      -7.456055942530e+40       6.852404019602e-05       1.627812370344e-01 
       3.503602586452e+11       6.158588405181e-21       1.323121978203e-06       2.647980098034e+17       1.424847712770e+04       4.066807457775e-08       4.992100131776e+15       7.639052515298e-07       4.145965438245e+34       1.070419926735e+26       5.627434266124e+26       9.536742788101e+33       3.178914262700e+33       3.483571410310e-08       1.912158815549e+34       7.011798599583e+34       7.011798599583e+34       2.337266177535e+34      -7.065909068379e+40       6.864393892090e-05       1.624969110913e-01 
       3.466144112850e+11       6.292418880664e-21       1.337421053904e-06       2.591661464328e+17       1.424847712769e+04       4.110757274871e-08       4.938727511336e+15       7.721607434215e-07       3.971483718246e+34       1.036452771088e+26       5.448861417436e+26       9.135391809749e+33       3.045130603250e+33       3.483571410310e-08       1.831686181607e+34       6.716709145682e+34       6.716709145682e+34       2.238903026943e+34      -6.696177087117e+40       6.876383764589e-05       1.622135766691e-01 
       3.429086123381e+11       6.429157586588e-21       1.351874743705e-06       2.536540644952e+17       1.424847712767e+04       4.155182055790e-08       4.885925519797e+15       7.805054520656e-07       3.804345009439e+34       1.003563479963e+26       5.275955140898e+26       8.750931567721e+33       2.916977189240e+33       3.483571410310e-08       1.754600214485e+34       6.434038443491e+34       6.434038443491e+34       2.144679460232e+34      -6.345791765523e+40       6.888373637099e-05       1.619312285896e-01 
       3.392424336303e+11       6.568867720431e-21       1.366484866594e-06       2.482592164160e+17       1.424847712766e+04       4.200086933448e-08       4.833688056327e+15       7.889403416230e-07       3.644240283386e+34       9.717178499689e+25       5.108535621717e+26       8.382651220412e+33       2.794217073471e+33       3.483571410310e-08       1.680758387317e+34       6.163263853547e+34       6.163263853547e+34       2.054421264248e+34      -6.013740766934e+40       6.900363509620e-05       1.616498617111e-01 
       3.356154515651e+11       6.711613855527e-21       1.381251422572e-06       2.429791088038e+17       1.424847712765e+04       4.245477096230e-08       4.782009085323e+15       7.974663866792e-07       3.490873517019e+34       9.408827630742e+25       4.946428751080e+26       8.029869841775e+33       2.676623280592e+33       3.483571410310e-08       1.610024171442e+34       5.903884731511e+34       5.903884731511e+34       1.967961557546e+34      -5.699064726388e+40       6.912353382153e-05       1.613694709288e-01 
       3.320272470748e+11       6.857461962843e-21       1.396179868607e-06       2.378113012982e+17       1.424847712763e+04       4.291357788591e-08       4.730882635709e+15       8.060845723409e-07       3.343961145312e+34       9.110261521680e+25       4.789465945094e+26       7.691935162331e+33       2.563978387444e+33       3.483571410310e-08       1.542266783963e+34       5.655421502513e+34       5.655421502513e+34       1.885140481836e+34      -5.400854478825e+40       6.924343254697e-05       1.610900511707e-01 
