# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       1.035949158472e+08       7.044159044493e-14       4.474792671317e-03       2.315096646017e+10       1.410655298075e+04       1.361703200318e-04       1.461367183041e+12       2.583518523450e-03       3.168984455305e+20       2.767100984353e+15       1.499258612833e+16       7.289445630920e+19       2.429815210303e+19       3.443516008292e-08       1.461565865131e+20       5.359672480399e+20       5.359672480399e+20       1.786498294509e+20      -1.596957200452e+23       1.545300525584e-04       7.006921803806e-02 
       1.024873394705e+08       7.197232735963e-14       4.523151163085e-03       2.265858358265e+10       1.410655293239e+04       1.376419064797e-04       1.445743093247e+12       2.611438219447e-03       3.035618688840e+20       2.679293809357e+15       1.451683311416e+16       6.982671483749e+19       2.327557161246e+19       3.443516008292e-08       1.400056301233e+20       5.134114099717e+20       5.134114099717e+20       1.711314046149e+20      -1.513394812386e+23       1.546464407995e-04       7.001700774917e-02 
       1.013916046539e+08       7.353632798685e-14       4.572032252327e-03       2.217667291983e+10       1.410655288351e+04       1.391293962901e-04       1.430286047100e+12       2.639659636340e-03       2.907865580914e+20       2.594272980080e+15       1.405617695710e+16       6.688807835145e+19       2.229602611711e+19       3.443516008292e-08       1.341135349003e+20       4.918048217931e+20       4.918048217931e+20       1.639293904477e+20      -1.434204912906e+23       1.547628299173e-04       6.996488166366e-02 
       1.003075847943e+08       7.513431516180e-14       4.621441590643e-03       2.170501174361e+10       1.410655283410e+04       1.406329613299e-04       1.414994258668e+12       2.668186034681e-03       2.785488924465e+20       2.511950078661e+15       1.361013859536e+16       6.407311350623e+19       2.135770450204e+19       3.443516008292e-08       1.284694067490e+20       4.711075347904e+20       4.711075347904e+20       1.570304709005e+20      -1.359158706896e+23       1.548792199221e-04       6.991283965796e-02 
       9.923515464224e+07       7.676702742661e-14       4.671384882386e-03       2.124338206299e+10       1.410655278416e+04       1.421527753230e-04       1.399865961111e+12       2.697020710257e-03       2.668262453136e+20       2.432239492967e+15       1.317825416898e+16       6.137661561768e+19       2.045887187252e+19       3.443516008292e-08       1.230628100490e+20       4.512812814740e+20       4.512812814740e+20       1.504218903267e+20      -1.288039371195e+23       1.549956108241e-04       6.986088160965e-02 
       9.817419028733e+07       7.843521937129e-14       4.721867901026e-03       2.079157052327e+10       1.410655273367e+04       1.436890138711e-04       1.384899406481e+12       2.726166994469e-03       2.555969422920e+20       2.355058327553e+15       1.276007453748e+16       5.879359903923e+19       1.959786634637e+19       3.443516008292e-08       1.178837483600e+20       4.322894048241e+20       4.322894048241e+20       1.440914298970e+20      -1.220641428147e+23       1.551120026336e-04       6.980900739742e-02 
       9.712456914396e+07       8.013966198447e-14       4.772896478244e-03       2.034936830753e+10       1.410655268265e+04       1.452418544735e-04       1.370092865515e+12       2.755628254718e-03       2.448402211419e+20       2.280326317459e+15       1.235516481275e+16       5.631928794376e+19       1.877309598122e+19       3.443516008292e-08       1.129226459388e+20       4.140967905155e+20       4.140967905155e+20       1.380273850081e+20      -1.156770151937e+23       1.552283953613e-04       6.975721690111e-02 
       9.608616993713e+07       8.188114300847e-14       4.824476509384e-03       1.991657104006e+10       1.410655263107e+04       1.468114765474e-04       1.355444627442e+12       2.785407894792e-03       2.345361933958e+20       2.207965744738e+15       1.196310390679e+16       5.394910749342e+19       1.798303583110e+19       3.443516008292e-08       1.081703300347e+20       3.966698019936e+20       3.966698019936e+20       1.322185436413e+20      -1.096241005989e+23       1.553447890177e-04       6.970551000172e-02 
       9.505887268845e+07       8.366046730414e-14       4.876613953456e-03       1.949297869189e+10       1.410655257893e+04       1.483980614494e-04       1.340952999780e+12       2.815509355262e-03       2.246658075870e+20       2.137901357631e+15       1.158348409378e+16       5.167867538103e+19       1.722622512697e+19       3.443516008292e-08       1.036180139292e+20       3.799762182826e+20       3.799762182826e+20       1.266541656324e+20      -1.038879109804e+23       1.554611836135e-04       6.965388658139e-02 
       9.404255870225e+07       8.547845722015e-14       4.929314834953e-03       1.907839548842e+10       1.410655252623e+04       1.500017924958e-04       1.326616308141e+12       2.845936113876e-03       2.152108140236e+20       2.070060292308e+15       1.121591058612e+16       4.950379372752e+19       1.650126457581e+19       3.443516008292e-08       9.925728069044e+19       3.639851744124e+20       3.639851744124e+20       1.213239628138e+20      -9.845187336935e+22       1.555775791598e-04       6.960234652342e-02 
